"Estacao";"Data";"Hora";"Precipitacao";"TempMaxima";"TempMinima";"Insolacao";"Evaporacao.Piche";"Temp.Comp.Media";"Umidade.Relativa.Media";"Velocidade.do.Vento.Media";"X";"estacao";"lat";"long";"alt"
82989;"23/03/1977";0;NA;30,9;NA;9,1;NA;24,7;64,75;7;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"23/03/1977";1200;0;NA;19,8;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"24/03/1977";0;NA;32,1;NA;8,8;NA;24,8;62;8,666667;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"24/03/1977";1200;0;NA;19,7;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"25/03/1977";0;NA;31,9;NA;5,9;NA;24,68;69,75;5,666667;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"25/03/1977";1200;0;NA;19,5;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"26/03/1977";0;NA;29,4;NA;4,4;NA;24,4;74,25;5,333333;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"26/03/1977";1200;0;NA;21;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"27/03/1977";0;NA;28,3;NA;4,1;NA;23,82;69,75;7;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"27/03/1977";1200;0;NA;20,2;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"28/03/1977";0;NA;31,1;NA;9,2;NA;24,4;65,25;5,666667;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"28/03/1977";1200;0;NA;19,5;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
